text,label,clean_text
Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS #KhofifahEmilNomer1,0,susilo bambang yudhoyono presiden ri khofifah emil masyarakat no baguss khofifahemilnomer
"USER udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'",1,udah kali gue kpoper kalo ngomonv temen gue idol gua banci homo
Saya suka video USER URL Awal Kisah Perseteruan Haji Bolot &amp; Malih Tongtong',0,suka video kisah perseteruan haji bolot amp malih tongtong
"Budaya kafir bersungguh, klau hal2 islam tidak diendahkan...",0,budaya kafir bersungguh klau islam diendahkan
"USER USER USER USER \xf0\x9f\x8e\xb6 la la la...hm hmm \xf0\x9f\x8e\xa7 ""Semua diam ,semua bisu""\n""Kita coba tanya sama rumput yg bergoyang"" \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa'",0,xf x f x e xb la la la hm hmm xf x f x e xa diam bisu n coba rumput yg bergoyang n xe x xab xe x xab xe x xab xe x xaa xe x xaa xe x xaa
"Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. (QS. al-A\xe2\x80\x99raf: 200 dan Fushilat: 36).'",0,setan membisikkan was was kepadamu mintalah perlindungan allah qs al a xe x x raf fushilat
USER USER USER USER USER USER USER Klw ente atheis..ngapain sibuk dgn agama orang...,0,klw ente atheis ngapain sibuk dgn agama orang
Lengserkan Jokowi Bangsat!!,1,lengserkan jokowi bangsat
USER Selamat hari kartini ; ; #2019GANTIPRESIDEN; #2019PRESIDENBARU,0,selamat kartini gantipresiden presidenbaru
"RT USER: Bajingan Homo!!!\nHati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL",1,bajingan homo nhati anak kamar mandi laki jgn biarkan
USER Iya cocot',1,iya cocot
USER karena budaya indonesia.,0,budaya indonesia
"USER Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam""",0,ngajarin solat a ajah orang aseng memecah belah islam
USER x || Lo ngomong aja kaga bener bangke',1,x lo ngomong aja kaga bener bangke
USER USER Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja,0,mempercayai yg negara disuatu dijajah kerana kes pembubaran sistem beraja dinegara menjadikan negara republik komunis negara penjaja
tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...,1,menikmati kebijakan diusulkan pki lha yo opo
Kalo seumpama orang cina di usir paksa dari indonesia gimana,1,kalo seumpama orang cina usir paksa indonesia gimana
USER bunda ngentot yuk',0,bunda ngentot yuk
RT USER: china babi... china maling...\n#UsirChina https:\/\/t.co\/9y4HIWHJp2,1,china babi china maling n usirchina
"Bung Karno anti asing dan beliau dari Jawa, coba deh adain konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena kebo*ohannya. \n\nKalau kami keliru kami tutup akun'",0,karno anti asing beliau jawa coba deh adain konsensus jawa anti asing pro asing kebo ohannya n nkalau keliru tutup akun
PROYEK KORUPSI REZIM SBY URL,1,proyek korupsi rezim sby
"USER Wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'",0,wajar lihat tingkah bbrp petinggi negeri yg suka mencampur bhs indonesia dgn bhs asing kali bicara
AB: pribadi yg senang berkompetisi dalam hal yang baik dan positif,0,ab pribadi yg senang berkompetisi positif
USER USER Terus menurut lo kitab suci agAma apa yg di bilang om USER ; ; #Mendadakkalap,1,lo kitab suci agama yg bilang om mendadakkalap
USER Suka nutup mata. Kaga ditutup pun udah terlihat tertutup gara2 sipit /?',0,suka nutup mata kaga ditutup udah tertutup gara sipit
"USER Sy sbg muslim tdk merasa pak USER menistakan kitab suci Alqur'an, krn dlm Alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm",0,sy sbg muslim tdk menistakan kitab suci alqur an krn dlm alqur an sndri bbrp suku yg smpai dtik blm mkna faktualnya olh umat islam tp yakini tsb makna yg tersirat fiksi yg blm
USER eh kasar kau kampang',1,eh kasar kau kampang
"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK""",0,bentar gua rilis album the onta s wkwkwkwkwk
USER Ada cebong bang dia merasa paling benar',1,cebong bang
Najis banget gw ngetwit apa barusan wey',0,najis banget gw ngetwit barusan wey
Kamu transgender atau gmn anjing :( URL,1,transgender gmn anjing
USER awas bintitan lu ngintipin titit kucing',0,awas bintitan lu ngintipin titit kucing
"USER USER Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'",0,bawel baper bolot bodor gaje wkwk ya udah aja deh
"USER USER USER USER Gue saranin gk perlu bnyk bacot maling ayat, langsung to the point aja lu jadi orang... Yg tdk sepaham lu teriakin aja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas dehh ..'",1,gue saranin gk bnyk bacot maling ayat langsung to the point aja lu orang yg tdk sepaham lu teriakin aja kafir sesat liberal pemuja dukun bla blaaa hatimu puas dehh
Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..,1,jgn salah target bkn ahok agenda utama lengserkan jokowi
USER USER masa baru kena hestek aja udah kepanasan ??? Kepo banget ; ; #2019GantiPresiden,1,kena hestek aja udah kepanasan kepo banget gantipresiden
"Maju lu sini duit tapi kau goyang kaki tak buat pape , mana la duit nak maju kat kau bodo URL",0,maju lu duit kau goyang kaki pape la duit nak maju kat kau bodo
"USER HKBP berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik.\nTerjadilah perpecahan dan berdirilah HKBP yg prtama kali di tarutung.\n\nNah skrg anda sy k",0,hkbp berdiri pecahnya kristen khatolik zaman penjajahan belanda dl tdk yg namanya kristen protestan yg cm kristen khatolik nterjadilah perpecahan berdirilah hkbp yg prtama kali tarutung n nnah skrg sy k
"Ha .. ha .. Banyak baca biar pintar ... JEPANG, AMERIKA, CHINA... Utang sama siapa ... Anda tau enggak ..?",0,ha ha baca biar pintar jepang amerika china utang tau
Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu,1,prabowo kalah menyebut bantuan jokowi pencitraan ratapan pilu
USER USER dan yang takut dengan adzan adalah IBLIS',0,takut adzan iblis
USER USER Yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus. Propaganda nasi bungkus memang selalu gagal.',1,yg goblog bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin yg dibayar pakai nasi bungkus propaganda nasi bungkus gagal
USER USER USER USER Wuih... cebong sewot...\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,wuih cebong sewot n xf x f x x xf x f x x xf x f x x
2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,gerakan menekankan kerja keras total tingkatkan potensi bangsa
Padahal gubernur saat ini Djarot. Mayoritas partai politik di DPRD juga pendukung Ahok Djarot. Payah ya mereka USER URL,1,gubernur djarot mayoritas partai politik dprd pendukung ahok djarot payah ya
"USER rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja, KPK alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya'",0,rezim rusak memperbaiki systeamnya sibuk cari kesalahan klu ketemu aja kpk alatnya besok pemerintah berganti berulang engah selesai organisasi orangnya
"Saat orang orang saling menuding antek aseng, aseng sesungguhnya bertepuk tangan.'",0,orang orang menuding antek aseng aseng sesungguhnya bertepuk tangan
USER Nah loh katanya anti aseng',0,loh anti aseng
"Selamat Pak USER Semoga Bisa Terus Berkiprah, Bahkan Tingkat Nasional.",0,selamat semoga berkiprah tingkat nasional
#AsyikM3nang saya sih ikut ulama saja,0,asyikm nang sih ulama
USER Yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan. Termasuk pt who tambang bouksid yg viral saat pilpres dulu. \nDan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora,0,ketahui diketapang tka asing yg berkerja perusahaan pt who tambang bouksid yg viral pilpres ndan kerja tsb era gubernur cornelis wakilnya ora
USER Anak pecun... ga jauh2 dr hobi zina.. haha',1,anak pecun ga dr hobi zina haha
USER QUE BOM SBBSNSN',0,que bom sbbsnsn
"USER Istirahat aja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan PD di Pacitan tahun 2003",0,istirahat aja presiden momentum saksi telinga mata rapat pembentukan pd pacitan
"Pada 1979, House Select Committee on Assassinations (HSCA) menemukan cacat investigasi yang dilakukan FBI dan Warren Commission. HSCA juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya.'",0,house select committee on assassinations hsca menemukan cacat investigasi fbi warren commission hsca menyimpulkan tembakan konspirasi dalamnya
"USER Tak terasa genap 1 tahun mendatang 17 April 2018 akan digelar Hajatan pilpres, acara tahunan Negara Indonesia untuk memilih Presiden. Semoga senantiasa berjalan aman dan lancar. Amin.",0,genap april digelar hajatan pilpres acara tahunan negara indonesia memilih presiden semoga senantiasa berjalan aman lancar amin
USER Ian pantat',0,ian pantat
"USER USER Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat : iblis itu juga pintar dan sangat licik!!!'",0,ngakunya org pintar beragama emangnya agama yg memperbolehkan menista menghujat org jgnkan orang bodoh org yg maaf lahir idiot hrs hargain ciptaan tuhan iblis pintar licik
Pendaftaran Capres untuk #Pilpres2019 saja belum dibuka sampai Agustus 2018...yang normatif begini politikus PDIP masih belum paham? #2019GantiPresiden !!,1,pendaftaran capres pilpres dibuka agustus normatif politikus pdip paham gantipresiden
Si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang DPR paya cebong URL,1,si tolol udah tau pemerintah rezim komunis bobrok koruptor pimpinan sidang dpr paya cebong
dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh?!! dan w ngerasa jadi anak yg brengsek aja gt ke laki2 :)))',0,w mantan mantan w mgerasa sedih ampe kepikiran gabisa tidur lohh w ngerasa anak yg brengsek aja gt laki
Cina perusak bangsa!! Usir !! Stuju??,1,cina perusak bangsa usir stuju
#2019GantiPresiden scra konstitusional hak setiap rakyat woiii!! . Gini nih kalo planga plongo tapi kelakuan otoriter.,1,gantipresiden scra konstitusional hak rakyat woiii gini nih kalo planga plongo kelakuan otoriter
Mari kita wujudkan Pilkada Kota Bengkulu 2018 aman dan damai.; .; .; coki_adem86 98heruâ?¦,0,mari wujudkan pilkada kota bengkulu aman damai coki adem heru
"Mau tanya serius ini sm presiden jokowi======= knp yg ada cm islam nusantara,knp tdk ada kristen nusantara,budha,hindu bahkan kong huchu nusantara???'",0,serius sm presiden jokowi knp yg cm islam nusantara knp tdk kristen nusantara budha hindu kong huchu nusantara
KORSA: Pernyataan Moeldoko Bukti Istana Takut dengan Kebangkitan Umat Islam,0,korsa pernyataan moeldoko bukti istana takut kebangkitan umat islam
cowo yang jago drasex mana? sini ngentot sama adek - luvian',0,cowo jago drasex ngentot adek luvian
"USER kroasia itu kapir tauuu,ngapain blajar sm kapir...udh lupa sm kapling sorga??'",1,kroasia kapir tauuu ngapain blajar sm kapir udh lupa sm kapling sorga
USER USER loh bukan nya mentri suharto ada yg homo?',1,loh nya mentri suharto yg homo
Gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik / buruk :)',0,gue tau loh culun cemen orang berubah perlahan buruk
Pada perang salib dulu itu kerajaan di Afrika terbagi dua yakni Babilonia pemeluk kristen dan Tobaco pemeluk islam',0,perang salib kerajaan afrika terbagi babilonia pemeluk kristen tobaco pemeluk islam
"Kejar setorang memang cukup bangsad, mana rupiah turun \xf0\x9f\x98\xa5'",1,kejar setorang bangsad rupiah turun xf x f x xa
"Moga ini ada tindak lanjutnya!; ; Pelaporan terhadap ?penista agama? Ade Armando akan dilakukan langsung oleh Ketua Umum FPI KH. Shobri Lubis ke Bareskrim Mabes Polri, Gambir, Jakarta Pusat pada Selasa (10/4) pukul 13.00 WIB.; #Perhaps USER;",1,moga tindak pelaporan penista agama ade armando langsung ketua fpi kh shobri lubis bareskrim mabes polri gambir jakarta pusat selasa wib perhaps
USER USER USER USER USER USER USER USER Bangke.. hajar!!!!',1,bangke hajar
USER USER USER .\nOnta mati klo kebanyakan Minum',1,nonta mati klo kebanyakan minum
URL Ahok tng mrka trus was-was hdpnya USER USER USER USER USER USER USER,1,ahok tng mrka trus was was hdpnya
Itu baru di Sul Teng.. !!!; Ini ekses akibat tersandera hutang china !!!; #2019GantiPresiden; #2019PresidenBaru ; #2019TetapJokowiGanti,1,sul teng ekses akibat tersandera hutang china gantipresiden presidenbaru tetapjokowiganti
"6. Pride (Yunani; \xe1\xbd\x99\xcf\x80\xce\xb5\xcf\x81\xce\xb7\xcf\x86\xce\xb1\xce\xbd\xce\xaf\xce\xb1-hyper\xc4\x93phania) keangkuhan/harga diri/kesombongan\ndikenal juga dengan sebutan hubris/vanity. harga diri yang tinggi dapat merubah manusia sombong, kesombongan membuat manusia terkutuk dimata tuhan.dan dapat membuat manusia mencintai dirinya sendiri-'",0,pride yunani xe xbd x xcf x xce xb xcf x xce xb xcf x xce xb xce xbd xce xaf xce xb hyper xc x phania keangkuhan harga kesombongan ndikenal sebutan hubris vanity harga merubah manusia sombong kesombongan manusia terkutuk dimata tuhan manusia mencintai
"Aku bertanya tujuan pada hati\nLogikaku yg menjawab \nTapi hati tak tenang\nAku bertanya pada logika \nHatiku sedih \nKu cari jawaban dalam wasiat yg Beliau tinggalkan. \nDan aku mulai menjadi terasing dan asing di mata manusia. \nTak apa duhai diri, ada",0,tujuan hati nlogikaku yg ntapi hati tenang naku logika nhatiku sedih nku cari wasiat yg beliau tinggalkan ndan terasing asing mata manusia ntak duhai
USER Tak hanya kurang bertaji nya kpk era ini...tapi era ini juga komitmen dlm pemberantasan korupsi tdk spt di era Pak sby....,1,bertaji nya kpk era era komitmen dlm pemberantasan korupsi tdk spt era sby
RT USER: Admin tolol di partai tolol\nPartai Tolol untuk orang Tolol',1,admin tolol partai tolol npartai tolol orang tolol
"RT USER: Ayu Ting Ting Goyang Hot Dekat Raffi Ahmad, Nagita Slavina: Kampungan, Norak URL",0,ayu ting ting goyang hot raffi ahmad nagita slavina kampungan norak
Video ttg TKA dibuat oleh Malaysia tapi mengutip pernyataan saya di USER,0,video ttg tka malaysia mengutip pernyataan
